WhiteName,WhiteNameHash,BlackName,BlackNameHash,WhiteResult,BlackResult,WhiteRank,BlackRank,Date,Round
ehlvest jaan,e97c1dd5,sadler matthew,d10ef12c,0.5,0.5,2610,2665,1997.12.11,2.1
lautier joel,cc509dbb,hracek zbynek,aa3c04e3,0.5,0.5,2660,2605,1997.12.12,2.2
kortschnoj viktor,9be806ff,short nigel d,c1a2666a,0.5,0.5,2610,2660,1997.12.12,2.2
miladinovic igor,03e311ff,van wely loek,e9112b0e,0.0,1.0,2500,2655,1997.12.12,2.2
zvjaginsev vadim,bc2e31be,kaidanov grigory s,c2517448,0.5,0.5,2635,2600,1997.12.12,2.2
vaganian rafael a,94ad0577,bologan viktor,4c4b601b,1.0,0.0,2640,2585,1997.12.12,2.2
tiviakov sergei,0436dafb,rozentalis eduardas,6544b1b6,0.5,0.5,2590,2645,1997.12.12,2.2
timman jan h,b1fc087a,beliavsky alexander g,ffb66c7f,0.0,1.0,2625,2710,1997.12.12,2.2
sokolov andrei,d472d3e2,istratescu andrei,216d0601,1.0,0.0,2585,2550,1997.12.12,2.2
slobodjan roman,95c05164,azmaiparashvili zurab,07aa741c,0.5,0.5,2550,2645,1997.12.12,2.2
shirov alexei,ee2d7958,granda zuniga julio e,0835782b,0.5,0.5,2700,2625,1997.12.12,2.2
shaked tal,09ab1f74,rublevsky sergei,fe564943,0.0,1.0,2500,2650,1997.12.12,2.2
salov valery,89d58894,tkachiev vladislav,6b47332a,0.5,0.5,2680,2615,1997.12.12,2.2
sadler matthew,d10ef12c,ehlvest jaan,e97c1dd5,0.5,0.5,2665,2610,1997.12.12,2.2
polgar judit,a1896854,almasi zoltan,2efd8dc3,0.0,1.0,2670,2615,1997.12.12,2.2
piket jeroen,0f022c8c,topalov veselin,7a328ae2,1.0,0.0,2630,2745,1997.12.12,2.2
oll lembit,875054cd,morozevich alexander,f94adfdd,0.5,0.5,2645,2590,1997.12.12,2.2
adianto utut,41af623f,svidler peter,96b21fac,0.5,0.5,2610,2660,1997.12.12,2.2
malaniuk vladimir p,2f49862f,bareev evgeny,caa337d9,0.0,1.0,2615,2670,1997.12.12,2.2
hjartarson johann,47e72a62,aleksandrov aleksej,178e8d6b,0.5,0.5,2605,2660,1997.12.12,2.2
giorgadze giorgi,109e3794,adams michael,7e2d180d,0.0,1.0,2625,2680,1997.12.12,2.2
kindermann stefan,ca43c560,milos gilberto,7ce04910,0.0,1.0,2570,2590,1997.12.12,2.2
khalifman alexander,391cd6ec,nijboer friso,f4d2925d,1.0,0.0,2655,2605,1997.12.12,2.2
jussupow artur,7a70e9e2,gretarsson helgi ass,84d6e201,1.0,0.0,2640,2475,1997.12.12,2.2
ivanchuk vassily,0792a584,seirawan yasser,719daf68,0.5,0.5,2725,2630,1997.12.12,2.2
anand viswanathan,96850629,nikolic predrag,6fc1d5b7,1.0,0.0,2765,2630,1997.12.12,2.2
garcia gildardo,d1f27af2,krasenkow michal,86f14e43,0.5,0.5,2480,2645,1997.12.12,2.2
epishin vladimir,e5b9b7b2,sokolov ivan,8da6ff9c,1.0,0.0,2570,2635,1997.12.12,2.2
dreev alexey,a7e5ec7d,nenashev alexander,ec0baf4d,1.0,0.0,2640,2585,1997.12.12,2.2
alterman boris,8873b1bc,georgiev kiril,12cc8dc0,0.5,0.5,2615,2670,1997.12.12,2.2
ehlvest jaan,e97c1dd5,sadler matthew,d10ef12c,0.5,0.5,2610,2665,1997.12.13,2.4
epishin vladimir,e5b9b7b2,sokolov ivan,8da6ff9c,1.0,0.0,2570,2635,1997.12.13,2.4
milov vadim,8e0001eb,andersson ulf,660a038f,1.0,0.0,2635,2640,1997.12.13,2.4
short nigel d,c1a2666a,kortschnoj viktor,9be806ff,0.5,0.5,2660,2610,1997.12.13,2.4
tkachiev vladislav,6b47332a,salov valery,89d58894,1.0,0.0,2615,2680,1997.12.13,2.4
zvjaginsev vadim,bc2e31be,kaidanov grigory s,c2517448,0.0,1.0,2635,2600,1997.12.13,2.4
kaidanov grigory s,c2517448,zvjaginsev vadim,bc2e31be,0.0,1.0,2600,2635,1997.12.13,2.5
milov vadim,8e0001eb,andersson ulf,660a038f,0.5,0.5,2635,2640,1997.12.13,2.5
sadler matthew,d10ef12c,ehlvest jaan,e97c1dd5,1.0,0.0,2665,2610,1997.12.13,2.5
short nigel d,c1a2666a,kortschnoj viktor,9be806ff,0.5,0.5,2660,2610,1997.12.13,2.5
andersson ulf,660a038f,milov vadim,8e0001eb,0.5,0.5,2640,2635,1997.12.13,2.6
ehlvest jaan,e97c1dd5,sadler matthew,d10ef12c,0.0,1.0,2610,2665,1997.12.13,2.6
georgiev kiril,12cc8dc0,alterman boris,8873b1bc,1.0,0.0,2670,2615,1997.12.13,2.4
zvjaginsev vadim,bc2e31be,kaidanov grigory s,c2517448,1.0,0.0,2635,2600,1997.12.13,2.6
andersson ulf,660a038f,milov vadim,8e0001eb,0.0,1.0,2640,2635,1997.12.13,2.7
kortschnoj viktor,9be806ff,short nigel d,c1a2666a,0.0,1.0,2610,2660,1997.12.13,2.6
aleksandrov aleksej,178e8d6b,hjartarson johann,47e72a62,1.0,0.0,2660,2605,1997.12.13,2.4
sokolov ivan,8da6ff9c,epishin vladimir,e5b9b7b2,0.5,0.5,2635,2570,1997.12.13,2.3
azmaiparashvili zurab,07aa741c,slobodjan roman,95c05164,0.5,0.5,2645,2550,1997.12.13,2.4
salov valery,89d58894,tkachiev vladislav,6b47332a,0.0,1.0,2680,2615,1997.12.13,2.3
sadler matthew,d10ef12c,ehlvest jaan,e97c1dd5,0.5,0.5,2610,2665,1997.12.13,2.3
kortschnoj viktor,9be806ff,short nigel d,c1a2666a,0.5,0.5,2610,2660,1997.12.13,2.3
kaidanov grigory s,c2517448,zvjaginsev vadim,bc2e31be,0.0,1.0,2600,2635,1997.12.13,2.3
hjartarson johann,47e72a62,aleksandrov aleksej,178e8d6b,0.5,0.5,2605,2660,1997.12.13,2.3
andersson ulf,660a038f,milov vadim,8e0001eb,1.0,0.0,2640,2635,1997.12.13,2.3
alterman boris,8873b1bc,georgiev kiril,12cc8dc0,0.5,0.5,2615,2670,1997.12.13,2.3
svidler peter,96b21fac,epishin vladimir,e5b9b7b2,1.0,0.0,2660,2570,1997.12.14,3.1
dreev alexey,a7e5ec7d,sadler matthew,d10ef12c,0.5,0.5,2640,2665,1997.12.14,3.1
georgiev kiril,12cc8dc0,milov vadim,8e0001eb,0.5,0.5,2670,2635,1997.12.14,3.1
jussupow artur,7a70e9e2,almasi zoltan,2efd8dc3,0.5,0.5,2640,2615,1997.12.14,3.1
khalifman alexander,391cd6ec,anand viswanathan,96850629,0.5,0.5,2655,2765,1997.12.14,3.1
lautier joel,cc509dbb,gelfand boris,9bbae35f,0.5,0.5,2660,2695,1997.12.14,3.1
milos gilberto,7ce04910,shirov alexei,ee2d7958,0.5,0.5,2590,2700,1997.12.14,3.1
oll lembit,875054cd,tkachiev vladislav,6b47332a,0.5,0.5,2645,2615,1997.12.14,3.1
adams michael,7e2d180d,tiviakov sergei,0436dafb,1.0,0.0,2680,2590,1997.12.14,3.1
beliavsky alexander g,ffb66c7f,rublevsky sergei,fe564943,0.5,0.5,2710,2650,1997.12.14,3.1
vaganian rafael a,94ad0577,akopian vladimir,27c35d7f,0.5,0.5,2640,2660,1997.12.14,3.1
zvjaginsev vadim,bc2e31be,seirawan yasser,719daf68,0.5,0.5,2635,2630,1997.12.14,3.1
azmaiparashvili zurab,07aa741c,aleksandrov aleksej,178e8d6b,1.0,0.0,2645,2660,1997.12.14,3.1
tkachiev vladislav,6b47332a,oll lembit,875054cd,0.5,0.5,2615,2645,1997.12.15,3.2
tiviakov sergei,0436dafb,adams michael,7e2d180d,0.5,0.5,2590,2680,1997.12.15,3.2
seirawan yasser,719daf68,zvjaginsev vadim,bc2e31be,0.5,0.5,2630,2635,1997.12.15,3.2
krasenkow michal,86f14e43,bareev evgeny,caa337d9,0.5,0.5,2645,2670,1997.12.15,3.2
shirov alexei,ee2d7958,milos gilberto,7ce04910,0.5,0.5,2700,2590,1997.12.15,3.2
akopian vladimir,27c35d7f,vaganian rafael a,94ad0577,0.5,0.5,2660,2640,1997.12.15,3.2
aleksandrov aleksej,178e8d6b,azmaiparashvili zurab,07aa741c,0.5,0.5,2660,2645,1997.12.15,3.2
almasi zoltan,2efd8dc3,jussupow artur,7a70e9e2,1.0,0.0,2615,2640,1997.12.15,3.2
sadler matthew,d10ef12c,dreev alexey,a7e5ec7d,0.0,1.0,2665,2640,1997.12.15,3.2
milov vadim,8e0001eb,georgiev kiril,12cc8dc0,0.0,1.0,2635,2670,1997.12.15,3.2
epishin vladimir,e5b9b7b2,svidler peter,96b21fac,0.5,0.5,2570,2660,1997.12.15,3.2
gelfand boris,9bbae35f,lautier joel,cc509dbb,0.5,0.5,2695,2660,1997.12.15,3.2
sokolov andrei,d472d3e2,short nigel d,c1a2666a,0.0,1.0,2585,2660,1997.12.15,3.2
van wely loek,e9112b0e,piket jeroen,0f022c8c,0.0,1.0,2655,2630,1997.12.16,3.4
rublevsky sergei,fe564943,beliavsky alexander g,ffb66c7f,0.5,0.5,2650,2710,1997.12.16,3.4
akopian vladimir,27c35d7f,vaganian rafael a,94ad0577,1.0,0.0,2660,2640,1997.12.16,3.7
van wely loek,e9112b0e,piket jeroen,0f022c8c,1.0,0.0,2655,2630,1997.12.16,3.6
oll lembit,875054cd,tkachiev vladislav,6b47332a,0.5,0.5,2645,2615,1997.12.16,3.4
khalifman alexander,391cd6ec,anand viswanathan,96850629,0.5,0.5,2655,2765,1997.12.16,3.4
lautier joel,cc509dbb,gelfand boris,9bbae35f,0.0,1.0,2660,2695,1997.12.16,3.3
